xValue	yValue	deviceType	candela	watts
-135	-15	SpeakerStrobe	75	1.0
-408	-206	Strobe	115	0.5
209	25	Strobe	15	1.0
-833	335	SpeakerStrobe	75	0.5
115	524	Strobe	15	0.5
727	-337	Strobe	115	1.0
95	-869	SpeakerStrobe	30	0.5
-854	328	Strobe	75	0.5
390	-515	SpeakerStrobe	15	1.0
340	-844	SpeakerStrobe	115	0.5
-629	452	Strobe	30	1.0
166	594	Strobe	15	0.5
678	-103	SpeakerStrobe	115	1.0
-190	-507	Strobe	15	0.5
-254	-655	SpeakerStrobe	30	1.0
-304	351	SpeakerStrobe	75	0.5
-886	-970	Strobe	30	0.5
-962	345	SpeakerStrobe	115	1.0
-238	-830	SpeakerStrobe	75	0.5
-442	-96	Strobe	15	0.5
-468	-305	Strobe	30	1.0
-592	-805	Strobe	115	1.0
-198	-563	SpeakerStrobe	30	0.5
444	851	SpeakerStrobe	15	1.0
-137	659	SpeakerStrobe	30	0.5
