HANDLE	BLOCKNAME	WG	NOTES	ELEVATION	PID	CD	WP	NACTAG	DESCRIPTION	CONNFROM_NAC	RISER	WIRE	NOTE	WIREDROP	X_COORDINATE	Y_COORDINATE	CEIL	SPEAKTAG	WATT	CONNFROM_SPEAK
'7D9A4	*U1829			8.0	4906-9101	15		N7:NAC1:V2-3	FL1 ERIKA DC-O-2				SX	10.0	23505	-14391	<>	<>	<>	<>
'7DB8F	*U1831			8.0	4906-9101	30		N7:NAC1:V1-7	FL1 STERIL OUT  DC-9				SX	10.0	23910	-14104	<>	<>	<>	<>
'7DDAF	*U1833			8.0	4906-9101	30		N7:NAC1:V2-6	FL1 STERIL OUT  DC-8				SX	10.0	24040	-14104	<>	<>	<>	<>
'7DF90	*U1835			8.0	4906-9101	15		N7:NAC1:V2-8	FL1 WELL DC-6				SX	10.0	24337	-14105	<>	<>	<>	<>
'7E136	*U1837			8.0	4906-9101	15		N7:NAC1:V1-9	FL1 CONFERENCE DC-O-8				SX	10.0	24052	-14261	<>	<>	<>	<>
'7E319	*U1839			8.0	4906-9101	15		N7:NAC1:V4-6	FL1 MEN DC-38				SX	10.0	24912	-13798	<>	<>	<>	<>
'7E4D2	*U1841			8.0	4906-9101	15		N7:NAC1:V3-6	FL1 WOMEN DC-36				SX	10.0	24912	-13684	<>	<>	<>	<>
'7E68B	*U1843			8.0	4906-9101	15		N7:NAC1:V4-5	FL1 HUDDLE DC-15				SX	10.0	24911	-13550	<>	<>	<>	<>
'7E844	*U1845			8.0	4906-9101	15		N7:NAC1:V3-5	FL1 CELH DC-33				SX	10.0	24911	-13422	<>	<>	<>	<>
'7EA62	*U1729			8.0	49SV-APPLC	75		N7:NAC1:V2-5	FL1 CONFERENCE DC-O-8		<>		SX	10.0	23990	-14319	C	N7:S12-3	1W	
'7ED29	*U1725			8.0	49SV-APPLC	75		N7:NAC1:V2-7	FL1 EGRESS DC-7		<>		SX	10.0	24184	-14255	C	N7:S12-4	1W	
'7EFAF	*U1724			8.0	49SV-APPLC	75		N7:NAC1:V1-10	FL1 LOBBY ML-1		<>		SX	10.0	24797	-14311	C	N7:S11-7	1W	
'7F235	*U1726			8.0	49SV-APPLC	75		N7:NAC1:V4-8	FL1 LOBBY ML-1		<>		SX	10.0	25155	-14145	C	N7:S12-6	1W	
'7F4BB	*U1727			8.0	49SV-APPLC	75		N7:NAC1:V4-7	FL1 DENTAL RECEPTION DC-1		<>		SX	10.0	25120	-13989	C	N7:S12-7	1W	
'7FA08	*U1728			8.0	49SV-APPLC	75		N7:NAC1:V1-3	FL1 STAFF ENTRANCE DC-12		<>		SX	10.0	23140	-14386	C	N7:S11-2	1W	
'7FC6B	*U1869			8.0	49SV-APPLW	75		N7:NAC1:V2-1	FL1 CORRIDOR BY MENS LOCKER DC-11B				SX	10.0	23427	-14169	<>	N7:S12-1	.5W	
'7FF82	*U1871			8.0	49SV-APPLW	75		N7:NAC1:V1-5	FL1 WOMEN DC-10				SX	10.0	23564	-14105	<>	N7:S11-4	.5W	
'80225	*U1873			8.0	49SV-APPLW	75		N7:NAC1:V1-8	FL1 CORRIDOR DC-3				SX	10.0	24040	-14168	<>	N7:S11-6	.5W	
'804C8	*U1875			8.0	49SV-APPLW	75		N7:NAC1:V2-9	FL1 CORRIDOR DC-3				SX	10.0	24758	-14111	<>	N7:S12-5	.5W	
'80836	*U1877			8.0	49SV-APPLW	75		N7:NAC1:V4-2	FL1 CORRIDOR DC-17				SX	10.0	24417	-13866	<>	N7:S12-10	.5W	
'80BB8	*U1879			8.0	49SV-APPLW	75		N7:NAC1:V3-4	FL1 CORRIDOR DC-30				SX	10.0	24554	-13777	<>	N7:S11-9	.5W	
'80FAD	*U1881			8.0	49SV-APPLW	75		N7:NAC1:V3-3	FL1 CORRIDOR DC-26				SX	10.0	24132	-13518	<>	N7:S11-10	.5W	
'81317	*U1883			8.0	49SV-APPLW	75		N7:NAC1:V3-2	FL1 CORRIDOR DC-17				SX	10.0	23900	-13865	<>	N7:S11-11	.5W	
'8166A	*U1885			8.0	49SV-APPLW	75		N7:NAC1:V3-7	FL1 CORRIDOR DC-32				SX	10.0	24977	-13703	<>	N7:S11-8	.5W	
'81AF8	*U1887			8.0	49SV-APPLW	75		N7:NAC1:V3-1	FL1 CORRIDOR DC-21				SX	10.0	23495	-13471	<>	N7:S11-12	.5W	
'81FF3	*U1889			8.0	49SV-APPLW	75		N7:NAC1:V4-1	FL1 CORRIDOR DC-21				SX	10.0	23404	-13627	<>	N7:S12-12	.5W	
'82897	*U1891			8.0	49SV-APPLW	15		N7:NAC1:V1-1	FL1 MEN DC-15				SX	10.0	23388	-13969	<>	N7:S11-1	.5W	
'83138	*U1893			8.0	49SV-APPLW	75		N7:NAC1:V1-4	FL1 PANTER DC-O-9				SX	10.0	23494	-14207	<>	N7:S11-3	.5W	
'839D9	*U1895			8.0	49SV-APPLW	75		N7:NAC1:V1-6	FL1 OPEN OFFICE DC-O-3				SX	10.0	23752	-14296	<>	N7:S11-5	.5W	
'83ED8	*U1897			8.0	49SV-APPLW	75		N7:NAC1:V2-4	FL1 OPEN OFFICE DC-O-3				SX	10.0	23777	-14211	<>	N7:S12-2	.5W	
'844B1	*U1899			8.0	49SV-APPLW	75		N7:NAC1:V4-4	FL1 CORRIDOR DC-31				SX	10.0	24793	-13382	<>	N7:S12-8	.5W	
'85C28	*U1901			8.0	49SV-APPLW	75		N7:NAC1:V4-3	L1 CORRIDOR DC-30				SX	10.0	24555	-13558	<>	N7:S12-9	.5W	
'85DE9	*U1847			8.0	4906-9101	15		N7:NAC1:V3-8	FL1 IDF ML-3				SX	10.0	25300	-14064	<>	<>	<>	<>
'8AED6	*U1849			8.0	4906-9101	30		N7:NAC1:V2-2	FL1 STERIL OUT  DC-8				SX	10.0	23289	-14193	<>	<>	<>	<>
'8B096	*U1851			8.0	4906-9101	30		N7:NAC1:V1-2	FL1 STERIL OUT  DC-8				SX	10.0	23289	-14198	<>	<>	<>	<>
