xValue	yValue	deviceType	candela	watts
689	-805	SpeakerStrobe	115	0.5
158	184	Strobe	115	0.5
309	-872	SpeakerStrobe	115	1.0
365	-855	Strobe	15	0.5
610	-58	Strobe	30	1.0
42	-197	SpeakerStrobe	75	1.0
-476	-787	SpeakerStrobe	75	1.0
-575	802	SpeakerStrobe	30	0.5
-711	-380	SpeakerStrobe	30	1.0
-473	-851	SpeakerStrobe	15	0.5
-104	297	Strobe	75	1.0
-210	-937	SpeakerStrobe	115	0.5
-958	-646	Strobe	75	0.5
-650	625	SpeakerStrobe	30	0.5
-403	-427	SpeakerStrobe	15	0.5
413	-121	Strobe	115	0.5
-362	-288	SpeakerStrobe	15	0.5
-611	780	Strobe	75	0.5
-314	-118	SpeakerStrobe	115	1.0
144	-316	SpeakerStrobe	30	1.0
