Install_Date	Floor	deviceType	xValue	Last_Service	Circuit_ID	Model_Number	watts	yValue	Voltage	Notes	candela	Zone	Asset_Tag	Status
2022-03-15	1	SpeakerStrobe	-547	2025-01-10	C-A3	MDL-4821	0.5	-99	24	N/A	15	3	8B3F9A1C	Active
2021-11-20	5	Strobe	-85	2024-11-25	C-B1	MDL-7734	1.0	821	12		75	1	2D5E6F8A	Active
2023-01-05	2	SpeakerStrobe	289	2025-02-18	C-A2	MDL-1298	0.5	-330	24	Check wiring	30	2	9C4D7E2B	Offline
2020-07-30	8	Strobe	902	2024-08-15	C-D4	MDL-5643	1.0	154	12		115	4	1A6B8C3D	Active
2022-05-22	G	SpeakerStrobe	-411	2025-03-01	C-A3	MDL-9012	0.5	-778	24	N/A	75	3	7F0E1D2C	Active
2024-02-11	3	Strobe	734	2025-09-05	C-B2	MDL-3478	1.0	-209	12		15	2	4E5F6A7B	Pending
2021-09-09	4	Strobe	-12	2024-10-12	C-A1	MDL-6589	0.5	501	24		30	1	B8C9D0E1	Active
2023-08-14	7	SpeakerStrobe	-998	2025-04-20	C-E5	MDL-2356	1.0	633	12		115	5	F2A3B4C5	Active
2020-12-01	8	Strobe	657	2024-06-22	C-D4	MDL-8701	0.5	101	24		75	4	D6E7F8A9	Offline
2022-02-28	4	Strobe	-388	2025-01-03	C-B1	MDL-4321	1.0	485	12		15	1	B0C1D2E3	Active
2023-04-19	B1	SpeakerStrobe	591	2025-03-14	C-A2	MDL-1122	0.5	-912	24	N/A	30	2	F4A5B6C7	Active
2021-10-15	2	Strobe	-277	2024-11-01	C-B1	MDL-5566	1.0	72	12		115	1	D8E9F0A1	Active
2024-01-25	3	SpeakerStrobe	84	2025-08-11	C-A3	MDL-7788	0.5	310	24		75	3	B2C3D4E5	Pending
2023-06-07	9	Strobe	-605	2025-05-16	C-E5	MDL-9900	1.0	963	12		15	5	F6A7B8C9	Active
2022-08-30	1	SpeakerStrobe	123	2025-02-22	C-A2	MDL-3344	0.5	-456	24		30	2	D0E1F2A3	Active
2020-09-03	8	Strobe	789	2024-09-19	C-D4	MDL-6677	1.0	23	12	N/A	115	4	B4C5D6E7	Active
2023-03-12	7	SpeakerStrobe	-91	2025-04-02	C-E5	MDL-8899	0.5	702	24	Needs service	75	5	F8A9B0C1	Offline
2021-12-18	3	Strobe	456	2024-12-28	C-B2	MDL-2233	1.0	-189	12		15	2	D2E3F4A5	Active
2022-07-21	B2	SpeakerStrobe	-888	2025-01-29	C-A3	MDL-4455	0.5	-222	24		30	3	B6C7D8E9	Active
2020-10-26	2	Strobe	-34	2024-10-31	C-B1	MDL-1133	1.0	94	12		115	1	F0A1B2C3	Active
2023-09-17	6	SpeakerStrobe	678	2025-05-25	C-D4	MDL-9988	0.5	543	24		75	4	D4E5F6A7	Active
2024-03-04	9	Strobe	-111	2025-09-30	C-E5	MDL-7766	1.0	876	12		15	5	B8C9D0E1	Pending
2022-10-02	1	SpeakerStrobe	900	2025-03-21	C-A2	MDL-5544	0.5	-300	24	N/A	30	2	F2A3B4C5	Active
2021-08-11	3	Strobe	-50	2024-08-11	C-B1	MDL-3322	1.0	250	12	Low battery	115	1	D6E7F8A9	Offline
2023-11-08	6	SpeakerStrobe	777	2025-06-14	C-D4	MDL-1199	0.5	444	24		75	4	B0C1D2E3	Active
2022-01-16	5	Strobe	-666	2025-02-05	C-C3	MDL-8877	1.0	123	12		15	3	F4A5B6C7	Active
2021-06-23	9	SpeakerStrobe	333	2024-07-27	C-E5	MDL-6655	0.5	890	24		30	5	D8E9F0A1	Active
2020-05-19	1	Strobe	-999	2024-05-19	C-A1	MDL-4433	1.0	10	12		115	1	B2C3D4E5	Active
2024-04-10	6	SpeakerStrobe	21	2025-10-01	C-D4	MDL-2211	0.5	555	24		75	4	F6A7B8C9	Pending
2022-04-05	B1	Strobe	812	2025-03-08	C-B2	MDL-9989	1.0	-654	12		15	2	D0E1F2A3	Active
